File Name,Dimension Found,Raw Conversion result,Final Conversion
24SWAdvSketch02_07.txt,forty,N/A,No change - no unit detected
24SWAdvSketch03_03.txt,four,N/A,No change - no unit detected
24SWAdvSketch03_03.txt,one,N/A,No change - no unit detected
24SWAdvSketch03_03.txt,one,N/A,No change - no unit detected
24SWAdvSketch03_03.txt,One,N/A,No change - no unit detected
24SWAdvSketch03_04.txt,One,N/A,No change - no unit detected
24SWAdvSketch03_04.txt,one,N/A,No change - no unit detected
24SWAdvSketch03_04.txt,one,N/A,No change - no unit detected
24SWAdvSketch03_04.txt,two,N/A,No change - no unit detected
24SWAdvSketch03_05.txt,one,N/A,No change - no unit detected
24SWAdvSketch03_05.txt,one,N/A,No change - no unit detected
24SWAdvSketch03_05.txt,two,N/A,No change - no unit detected
24SWAdvSketch03_05.txt,one,N/A,No change - no unit detected
24SWAdvSketch03_05.txt,one,N/A,No change - no unit detected
24SWAdvSketch03_05.txt,one,N/A,No change - no unit detected
24SWAdvSketch03_05.txt,1 inch,25.4000 mm,25 mm
24SWAdvSketch03_05.txt,one,N/A,No change - no unit detected
24SWAdvSketch03_06.txt,one,N/A,No change - no unit detected
24SWAdvSketch03_06.txt,ten,N/A,No change - no unit detected
24SWAdvSketch03_06.txt,one,N/A,No change - no unit detected
24SWAdvSketch03_07.txt,two,N/A,No change - no unit detected
24SWAdvSketch03_07.txt,one,N/A,No change - no unit detected
24SWAdvSketch03_07.txt,one,N/A,No change - no unit detected
24SWAdvSketch03_08.txt,zero,N/A,No change - no unit detected
24SWAdvSketch03_08.txt,zero,N/A,No change - no unit detected
24SWAdvSketch03_08.txt,three,N/A,No change - no unit detected
24SWAdvSketch03_08.txt,zero,N/A,No change - no unit detected
24SWAdvSketch03_08.txt,two,N/A,No change - no unit detected
24SWAdvSketch03_08.txt,one,N/A,No change - no unit detected
24SWAdvSketch03_08.txt,two,N/A,No change - no unit detected
24SWAdvSketch03_10.txt,three,N/A,No change - no unit detected
24SWAdvSketch03_10.txt,ten,N/A,No change - no unit detected
24SWAdvSketch03_10.txt,1.75 inch,44.4500 mm,44 mm
24SWAdvSketch03_10.txt,four,N/A,No change - no unit detected
24SWAdvSketch03_10.txt,six,N/A,No change - no unit detected
24SWAdvSketch03_10.txt,one,N/A,No change - no unit detected
24SWAdvSketch03_10.txt,one,N/A,No change - no unit detected
24SWAdvSketch04_01.txt,one,N/A,No change - no unit detected
24SWAdvSketch04_01.txt,two,N/A,No change - no unit detected
24SWAdvSketch04_01.txt,one,N/A,No change - no unit detected
24SWAdvSketch04_02.txt,one,N/A,No change - no unit detected
24SWAdvSketch04_02.txt,12 inches,304.8000 mm,300 mm
24SWAdvSketch04_02.txt,12 inches,304.8000 mm,300 mm
24SWAdvSketch04_02.txt,8 inches,203.2000 mm,200 mm
24SWAdvSketch04_02.txt,6 inches,152.4000 mm,150 mm
24SWAdvSketch04_02.txt,6 inches,152.4000 mm,150 mm
24SWAdvSketch04_02.txt,5 inches,127.0000 mm,130 mm
24SWAdvSketch04_02.txt,12 inches,304.8000 mm,300 mm
24SWAdvSketch04_02.txt,two,N/A,No change - no unit detected
24SWAdvSketch04_02.txt,two,N/A,No change - no unit detected
24SWAdvSketch04_02.txt,two,N/A,No change - no unit detected
24SWAdvSketch04_02.txt,one,N/A,No change - no unit detected
24SWAdvSketch04_02.txt,two,N/A,No change - no unit detected
24SWAdvSketch04_02.txt,2 inches,50.8000 mm,51 mm
24SWAdvSketch04_02.txt,12 inches,304.8000 mm,300 mm
24SWAdvSketch04_02.txt,two,N/A,No change - no unit detected
24SWAdvSketch04_02.txt,6 inches,152.4000 mm,150 mm
24SWAdvSketch04_03.txt,one,N/A,No change - no unit detected
24SWAdvSketch04_03.txt,two,N/A,No change - no unit detected
24SWAdvSketch04_03.txt,one,N/A,No change - no unit detected
24SWAdvSketch04_03.txt,two,N/A,No change - no unit detected
24SWAdvSketch04_03.txt,two,N/A,No change - no unit detected
24SWAdvSketch04_03.txt,two,N/A,No change - no unit detected
24SWAdvSketch04_03.txt,four,N/A,No change - no unit detected
24SWAdvSketch04_04.txt,three,N/A,No change - no unit detected
24SWAdvSketch04_04.txt,one,N/A,No change - no unit detected
24SWAdvSketch04_04.txt,one,N/A,No change - no unit detected
24SWAdvSketch04_04.txt,One,N/A,No change - no unit detected
24SWAdvSketch04_04.txt,one,N/A,No change - no unit detected
24SWAdvSketch05_01.txt,three,N/A,No change - no unit detected
24SWAdvSketch05_02.txt,two,N/A,No change - no unit detected
24SWAdvSketch05_02.txt,two,N/A,No change - no unit detected
24SWAdvSketch05_03.txt,two,N/A,No change - no unit detected
24SWAdvSketch05_03.txt,two,N/A,No change - no unit detected
24SWAdvSketch05_04.txt,two,N/A,No change - no unit detected
24SWAdvSketch05_04.txt,two,N/A,No change - no unit detected
24SWAdvSketch05_04.txt,two,N/A,No change - no unit detected
24SWAdvSketch05_04.txt,two,N/A,No change - no unit detected
24SWAdvSketch05_04.txt,two,N/A,No change - no unit detected
24SWAdvSketch05_04.txt,one,N/A,No change - no unit detected
24SWAdvSketch05_04.txt,one,N/A,No change - no unit detected
24SWAdvSketch05_04.txt,one,N/A,No change - no unit detected
24SWAdvSketch05_05.txt,one,N/A,No change - no unit detected
24SWAdvSketch05_05.txt,two,N/A,No change - no unit detected
24SWAdvSketch05_05.txt,two,N/A,No change - no unit detected
24SWAdvSketch05_05.txt,two,N/A,No change - no unit detected
24SWAdvSketch05_05.txt,one,N/A,No change - no unit detected
24SWAdvSketch05_05.txt,two,N/A,No change - no unit detected
24SWAdvSketch05_05.txt,two,N/A,No change - no unit detected
24SWAdvSketch05_06.txt,three,N/A,No change - no unit detected
24SWAdvSketch05_07.txt,one,N/A,No change - no unit detected
24SWAdvSketch05_07.txt,one,N/A,No change - no unit detected
24SWAdvSketch05_08.txt,one,N/A,No change - no unit detected
24SWAdvSketch05_08.txt,one,N/A,No change - no unit detected
24SWAdvSketch05_09.txt,two,N/A,No change - no unit detected
24SWAdvSketch05_10.txt,two,N/A,No change - no unit detected
24SWAdvSketch05_10.txt,two,N/A,No change - no unit detected
24SWAdvSketch05_10.txt,one,N/A,No change - no unit detected
24SWAdvSketch05_11.txt,two,N/A,No change - no unit detected
24SWAdvSketch05_11.txt,two,N/A,No change - no unit detected
24SWAdvSketch06_03.txt,one,N/A,No change - no unit detected
24SWAdvSketch06_04.txt,one,N/A,No change - no unit detected
24SWAdvSketch06_04.txt,two,N/A,No change - no unit detected
24SWAdvSketch06_04.txt,three,N/A,No change - no unit detected
24SWAdvSketch06_05.txt,two,N/A,No change - no unit detected
24SWAdvSketch06_05.txt,two,N/A,No change - no unit detected
24SWAdvSketch06_05.txt,one,N/A,No change - no unit detected
24SWAdvSketch06_05.txt,one,N/A,No change - no unit detected
24SWAdvSketch06_05.txt,two,N/A,No change - no unit detected
24SWAdvSketch06_05.txt,one,N/A,No change - no unit detected
24SWAdvSketch06_05.txt,one,N/A,No change - no unit detected
24SWAdvSketch06_05.txt,two,N/A,No change - no unit detected
24SWAdvSketch06_05.txt,two,N/A,No change - no unit detected
24SWAdvSketch06_07.txt,two,N/A,No change - no unit detected
24SWAdvSketch06_07.txt,two,N/A,No change - no unit detected
24SWAdvSketch06_07.txt,one,N/A,No change - no unit detected
24SWAdvSketch06_07.txt,two,N/A,No change - no unit detected
24SWAdvSketch06_07.txt,one,N/A,No change - no unit detected
24SWAdvSketch06_07.txt,two,N/A,No change - no unit detected
24SWAdvSketch06_07.txt,one,N/A,No change - no unit detected
24SWAdvSketch06_07.txt,one,N/A,No change - no unit detected
24SWAdvSketch06_07.txt,two,N/A,No change - no unit detected
24SWAdvSketch06_08.txt,one,N/A,No change - no unit detected
24SWAdvSketch06_08.txt,two,N/A,No change - no unit detected
24SWAdvSketch07_02.txt,One,N/A,No change - no unit detected
24SWAdvSketch07_02.txt,one,N/A,No change - no unit detected
24SWAdvSketch07_02.txt,one,N/A,No change - no unit detected
24SWAdvSketch07_02.txt,one,N/A,No change - no unit detected
24SWAdvSketch07_03.txt,two,N/A,No change - no unit detected
24SWAdvSketch07_03.txt,4 inches,101.6000 mm,100 mm
24SWAdvSketch07_03.txt,6 inches,152.4000 mm,150 mm
24SWAdvSketch07_03.txt,one,N/A,No change - no unit detected
24SWAdvSketch07_03.txt,one,N/A,No change - no unit detected
24SWAdvSketch07_04.txt,one,N/A,No change - no unit detected
24SWAdvSketch07_05.txt,one,N/A,No change - no unit detected
24SWAdvSketch07_05.txt,two,N/A,No change - no unit detected
24SWAdvSketch07_06.txt,one,N/A,No change - no unit detected
24SWAdvSketch07_06.txt,one,N/A,No change - no unit detected
